player_name,position,team_abbr,our_rank,vor,ecr_overall_rank,espn_rank,espn_adp,espn_vs_fp_gap
MarShawn Lloyd,RB,GB,253,-93.78373978215672,243.42,351.0,170.31,-107.58000000000001
Daniel Bellinger,TE,NYG,254,-93.80503926189952,357.33,1085.0,169.98,-727.6700000000001
Germie Bernard,WR,PIT,255,-93.88910565875322,228.85,202.0,169.49,26.849999999999994
Ted Hurst III,WR,TB,256,-94.17368357264792,255.12,376.0,170.15,-120.88
Skyler Bell,WR,BUF,257,-95.48601862332796,281.11,1011.0,169.86,-729.89
Tyler Conklin,TE,LAC,258,-95.52849668304748,378.5,1242.0,170.0,-863.5
Zachariah Branch,WR,ATL,261,-95.6431292077855,237.14,327.0,170.02,-89.86000000000001
Jaylen Wright,RB,MIA,262,-95.7349736954786,229.65,347.0,170.12,-117.35
Ty Johnson,RB,BUF,263,-95.8447540247959,253.49,358.0,170.37,-104.50999999999999
Darius Slayton,WR,NYG,264,-95.91912149008564,263.89,396.0,170.15,-132.11
Malachi Fields,WR,NYG,265,-95.91912149008564,252.11,1043.0,169.89,-790.89
Devaughn Vele,WR,NO,266,-95.91912149008564,271.36,985.0,170.88,-713.64
Adam Trautman,TE,DEN,267,-96.28216336545285,360.33,1069.0,169.99,-708.6700000000001
Nate Boerkircher,TE,JAX,268,-96.28216336545285,361.8,1145.0,169.99,-783.2
Cade Stover,TE,HOU,269,-96.28216336545285,364.0,1040.0,169.99,-676.0
Sam Roush,TE,CHI,270,-96.28216336545285,361.33,1249.0,169.94,-887.6700000000001
Luke Schoonmaker,TE,DAL,271,-96.28216336545285,365.2,1074.0,169.91,-708.8
Marlin Klein,TE,HOU,272,-96.28216336545285,362.0,1245.0,169.99,-883.0
Mo Alie-Cox,TE,IND,273,-97.0358300478582,370.5,1080.0,170.0,-709.5
Elic Ayomanor,WR,TEN,274,-97.39715275681776,240.7,1161.0,170.01,-920.3
Jack Bech,WR,LV,275,-97.39715275681776,244.35,291.0,170.88,-46.650000000000006
Chris Brazzell II,WR,CAR,276,-97.66455940752334,259.67,336.0,170.21,-76.32999999999998
Xavier Legette,WR,CAR,277,-97.66455940752334,259.67,362.0,170.19,-102.32999999999998
Ben Sinnott,TE,WAS,278,-97.78949673026358,360.73,1083.0,169.98,-722.27
Mitchell Evans,TE,CAR,280,-98.54316341266892,378.5,1039.0,169.98,-660.5
Tyreek Hill,WR,MIA,281,-99.09156429369108,227.89,337.0,169.18,-109.11000000000001
Jaydon Blue,RB,DAL,282,-99.82511511050052,254.97,355.0,170.05,-100.03
Elijah Higgins,TE,ARI,283,-100.05049677747964,369.75,473.0,169.99,-103.25
Chris Bell,WR,MIA,284,-100.90519985488233,237.39,281.0,170.46,-43.610000000000014
Ollie Gordon II,RB,MIA,285,-101.27410433563182,242.85,348.0,170.2,-105.15
Chris Brooks,RB,GB,286,-101.55076908218614,260.67,361.0,170.18,-100.32999999999998
Demond Claiborne,RB,MIN,287,-101.99632587762132,255.25,316.0,170.15,-60.75
Hollywood Brown,WR,PHI,288,-102.41075975407506,283.96,988.0,169.95,-704.04
Ja'Kobi Lane,WR,BAL,289,-103.41593704090393,285.4,375.0,169.62,-89.60000000000002
Jordan James,RB,SF,290,-103.5006966278223,267.86,277.0,170.28,-9.139999999999986
Samaje Perine,RB,CIN,291,-103.5006966278223,269.0,330.0,170.63,-61.0
George Holani,RB,SEA,292,-103.5006966278223,267.65,381.0,170.22,-113.35000000000002
Odell Beckham Jr.,WR,NYG,293,-103.77601340274576,282.0,1029.0,169.34,-747.0
Konata Mumpfield,WR,LAR,295,-104.15527792079595,290.47,1065.0,169.94,-774.53
Devontez Walker,WR,BAL,296,-104.15527792079595,307.14,1038.0,169.94,-730.86
LeQuint Allen Jr.,RB,JAX,297,-104.60739900919458,263.46,345.0,170.28,-81.54000000000002
Malik Davis,RB,DAL,298,-104.8359267555418,273.65,398.0,170.07,-124.35000000000002
Kaelon Black,RB,SF,300,-105.19301367398734,278.62,280.0,170.17,-1.3799999999999955
DJ Giddens,RB,IND,301,-105.23695568657116,261.41,397.0,170.12,-135.58999999999997
Joshua Palmer,WR,BUF,302,-105.47970166600189,291.21,1005.0,169.95,-713.79
Jahan Dotson,WR,PHI,303,-105.47970166600189,285.93,420.0,170.2,-134.07
Jalen Royals,WR,KC,305,-105.47970166600189,306.05,998.0,169.98,-691.95
Kendrick Bourne,WR,SF,306,-105.47970166600189,297.8,990.0,170.02,-692.2
Kaleb Johnson,RB,PIT,307,-106.17115688326132,264.72,357.0,170.1,-92.27999999999997
Kyle Juszczyk,RB,SF,309,-106.22226433142608,279.86,359.0,170.06,-79.13999999999999
Trey Benson,RB,ARI,310,-106.39763161684466,254.0,356.0,170.15,-102.0
Jalen Tolbert,WR,DAL,311,-106.80412541120782,295.07,332.0,170.22,-36.93000000000001
Olamide Zaccheaus,WR,CHI,312,-106.80412541120782,300.57,1020.0,170.04,-719.4300000000001
DeMario Douglas,WR,NE,313,-106.80412541120782,311.17,984.0,169.88,-672.8299999999999
KaVontae Turpin,WR,DAL,314,-106.80412541120782,305.42,982.0,169.78,-676.5799999999999
Isaiah Davis,RB,NYJ,316,-106.97428189362468,257.89,383.0,170.13,-125.11000000000001
